#Co-60	bc	3
#Baseline voltage	Counts	Net counts
0	2	-1
0.1	10	7
0.2	29	26
0.3	75	72
0.4	236	233
0.5	493	490
0.6	1233	1230
0.7	1648	1645
0.8	1796	1793
0.9	2302	2299
1	2407	2404
1.1	2437	2434
1.2	2232	2229
1.3	2119	2116
1.4	2019	2016
1.5	1981	1978
1.6	1977	1974
1.7	1963	1960
1.8	2000	1997
1.9	1976	1973
2	2019	2016
2.1	1984	1981
2.2	1937	1934
2.3	1992	1989
2.4	2000	1997
2.5	1978	1975
2.6	2115	2112
2.7	2064	2061
2.8	2180	2177
2.9	2265	2262
3	2194	2191
3.1	2264	2261
3.2	2428	2425
3.3	2394	2391
3.4	2428	2425
3.5	2354	2351
3.6	2595	2592
3.7	2655	2652
3.8	2607	2604
3.9	2724	2721
4	2741	2738
4.1	2795	2792
4.2	2671	2668
4.3	2621	2618
4.4	2434	2431
4.5	2313	2310
4.6	2030	2027
4.7	2131	2128
4.8	2190	2187
4.9	2224	2221
5	2398	2395
5.1	2779	2776
5.2	3105	3102
5.3	3762	3759
5.4	4567	4564
5.5	5763	5760
5.6	6238	6235
5.7	5809	5806
5.8	4642	4639
5.9	3255	3252
6	2649	2646
6.1	2594	2591
6.2	3322	3319
6.3	4221	4218
6.4	5407	5404
6.5	5673	5670
6.6	5256	5253
6.7	4250	4247
6.8	2713	2710
6.9	1614	1611
7	973	970
7.1	658	655
7.2	639	636
7.3	588	585
7.4	525	522
7.5	498	495
