#Cs-137	bc	3
#Baseline voltage (volt)	Counts in 10 second	Net counts
0	1	-2
0.1	10	7
0.2	58	55
0.3	253	250
0.4	928	925
0.5	1974	1971
0.6	3593	3590
0.7	4625	4622
0.8	5662	5659
0.9	6883	6880
1	7606	7603
1.1	7261	7258
1.2	7216	7213
1.3	7043	7040
1.4	6771	6768
1.5	6401	6398
1.6	5611	5608
1.7	4206	4203
1.8	2936	2933
1.9	2105	2102
2	1865	1862
2.1	2279	2276
2.2	3691	3688
2.3	6956	6953
2.4	11975	11972
2.5	19796	19793
2.6	27581	27578
2.7	31536	31533
2.8	26599	26596
2.9	14248	14245
3	5370	5367
3.1	2089	2086
3.2	1357	1354
3.3	1187	1184
3.4	1059	1056
3.5	997	994
3.6	872	869
3.7	882	879
3.8	755	752
3.9	686	683
4	696	693
