#unknown	bc	3
#Baseline voltage	Counts per 10 sec	Net counts
0	0	-3
0.1	0	-3
0.2	0	-3
0.3	2	-1
0.4	4	1
0.5	62	59
0.6	221	218
0.7	253	250
0.8	276	273
0.9	407	404
1	470	467
1.1	428	425
1.2	376	373
1.3	356	353
1.4	216	213
1.5	194	191
1.6	151	148
1.7	124	121
1.8	133	130
1.9	107	104
2	141	138
2.1	229	226
2.2	823	820
2.3	1726	1723
2.4	2156	2153
2.5	1371	1368
2.6	416	413
2.7	112	109
2.8	89	86
2.9	93	90
3	92	89
3.1	82	79
3.2	70	67
3.3	93	90
3.4	97	94
3.5	69	66
3.6	72	69
3.7	69	66
3.8	79	76
3.9	83	80
4	90	87
